epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.044,0.93164,3.06431,1.21474,0.00441,0.68467,0.39996,0.3474,0.54121,3.47362,0.97656,0.00015719,0.00015719,0.00015719
2,422.383,0.59978,1.56317,1.00867,0.00381,0.68239,0.45914,0.39511,0.75202,3.42998,1.15717,0.000327043,0.000327043,0.000327043
3,627.41,0.66139,1.24212,1.028,0.89684,0.21687,0.48224,0.40788,0.64246,3.07913,1.01997,0.000495199,0.000495199,0.000495199
4,831.818,0.62343,1.09698,0.99718,0.79917,0.54394,0.64819,0.46621,0.78383,2.73848,1.1927,0.000661656,0.000661656,0.000661656
5,1035.93,0.64884,1.02745,1.01514,0.88967,0.59617,0.74413,0.589,0.708,2.29313,1.1087,0.000826416,0.000826416,0.000826416
6,1239.87,0.6278,0.96488,1.00823,0.86679,0.60032,0.67957,0.54031,0.65856,1.90011,1.07354,0.000989479,0.000989479,0.000989479
7,1443.06,0.60111,0.91061,0.97439,0.66646,0.54354,0.7213,0.59233,0.73281,1.9667,1.11523,0.00115084,0.00115084,0.00115084
8,1648.87,0.62325,0.93135,0.98376,0.28254,0.49245,0.37205,0.26386,1.46867,3.35545,2.1242,0.00131051,0.00131051,0.00131051
9,1852.67,0.66265,0.87605,0.99497,0.55885,0.5815,0.6034,0.43386,1.32805,2.32047,1.98832,0.00137241,0.00137241,0.00137241
10,2056.93,0.61179,0.80457,0.98279,0.75629,0.67646,0.75051,0.55985,0.83946,1.80204,1.223,0.00136534,0.00136534,0.00136534
11,2261.65,0.61362,0.76854,0.98436,0.71483,0.74104,0.76332,0.57392,0.93148,1.64244,1.30492,0.00135826,0.00135826,0.00135826
