epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.87341,3.35485,5.06782,3.06218,0.01724,0.625,0.24208,0.03486,3.0006,6.06546,3.01584,0,0,0
2,16.1695,3.04694,4.63293,2.52025,0.01056,0.375,0.28455,0.04166,3.01685,6.01429,3.03054,9.802e-06,9.802e-06,9.802e-06
3,21.6383,3.24797,5.7784,3.09715,0.00719,0.25,0.12523,0.02592,3.02837,5.969,3.01545,1.9208e-05,1.9208e-05,1.9208e-05
4,27.0828,2.58219,4.9023,2.23283,0.01167,0.375,0.10398,0.02118,3.04973,5.8458,2.97319,2.8218e-05,2.8218e-05,2.8218e-05
5,32.5962,2.57822,4.60012,2.15527,0.0166,0.5,0.15623,0.02616,3.01167,5.83408,2.90693,3.6832e-05,3.6832e-05,3.6832e-05
6,38.2496,2.53707,5.62874,2.40289,0.0186,0.5,0.17821,0.03174,3.00752,5.78713,2.86678,4.505e-05,4.505e-05,4.505e-05
7,43.7997,2.81506,4.49409,2.46586,0.02591,0.625,0.16116,0.02971,2.92646,5.67317,2.81148,5.2872e-05,5.2872e-05,5.2872e-05
8,49.2654,2.39863,4.37556,2.22828,0.03429,0.75,0.15597,0.03007,2.78142,5.66299,2.71567,6.0298e-05,6.0298e-05,6.0298e-05
9,55.052,2.56453,4.33207,2.01694,0.02667,0.5,0.11228,0.02698,2.61371,5.80204,2.55987,6.7328e-05,6.7328e-05,6.7328e-05
10,60.5177,2.22375,4.73746,1.95904,0.04651,0.75,0.14159,0.03504,2.41227,5.87455,2.39675,7.3962e-05,7.3962e-05,7.3962e-05
11,66.2011,2.21594,4.39376,1.84742,0.04167,0.625,0.16989,0.04445,2.27717,5.84931,2.27844,8.02e-05,8.02e-05,8.02e-05
12,71.8585,1.76907,3.85854,1.52512,0.05217,0.75,0.18383,0.0506,2.213,5.89467,2.19663,8.6042e-05,8.6042e-05,8.6042e-05
13,77.796,1.84704,4.61912,1.78522,0.03509,0.5,0.15709,0.04761,2.09329,5.86752,2.06087,9.1488e-05,9.1488e-05,9.1488e-05
14,83.2801,1.72327,3.68004,1.76726,0.03774,0.5,0.18382,0.0507,2.03207,5.38467,1.93927,9.6538e-05,9.6538e-05,9.6538e-05
15,89.015,1.4044,3.3426,1.41112,0.0396,0.5,0.18133,0.06086,1.8761,5.21016,1.80005,0.000101192,0.000101192,0.000101192
16,94.995,1.81967,3.65872,1.81408,0.04396,0.5,0.18897,0.07469,1.7657,4.84666,1.63135,0.00010545,0.00010545,0.00010545
17,100.517,1.6264,3.67803,1.58957,0.04494,0.5,0.19608,0.084,1.61189,4.82457,1.54864,0.000109312,0.000109312,0.000109312
18,106.44,1.70836,3.63803,1.64977,0.04494,0.5,0.19608,0.084,1.61189,4.82457,1.54864,0.000112778,0.000112778,0.000112778
19,112.077,1.75387,3.29494,1.51609,0.04938,0.5,0.24159,0.13888,1.51399,4.70811,1.46211,0.000115848,0.000115848,0.000115848
20,117.733,1.91817,3.24711,1.6865,0.04938,0.5,0.24159,0.13888,1.51399,4.70811,1.46211,0.000118522,0.000118522,0.000118522
21,123.448,1.96634,3.54921,1.76135,0.04878,0.5,0.34047,0.19687,1.48323,4.64331,1.43807,0.0001208,0.0001208,0.0001208
22,129.745,1.43913,2.8762,1.58719,0.04878,0.5,0.34047,0.19687,1.48323,4.64331,1.43807,0.000122682,0.000122682,0.000122682
