epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.666,0.93164,3.06431,1.21474,0.00441,0.68467,0.39996,0.3474,0.54121,3.47362,0.97656,0.00015719,0.00015719,0.00015719
2,414.599,0.60315,1.56149,1.01173,0.00389,0.69533,0.46872,0.4045,0.69882,3.3805,1.10005,0.000328019,0.000328019,0.000328019
3,618.328,0.66295,1.22429,1.02429,0.99614,0.2664,0.68773,0.5753,0.62254,2.89723,0.99493,0.000498169,0.000498169,0.000498169
4,821.757,0.61775,1.1082,0.99499,0.89449,0.52496,0.63389,0.52422,0.6883,2.4771,1.06874,0.000667641,0.000667641,0.000667641
5,1025.31,0.66669,1.0323,1.01435,0.70362,0.57035,0.5993,0.45561,0.78536,2.40273,1.16304,0.000836433,0.000836433,0.000836433
6,1229.94,0.63855,0.99432,1.01821,0.93518,0.58468,0.74848,0.62311,0.61416,2.16531,1.00613,0.00100455,0.00100455,0.00100455
7,1433.8,0.63594,0.91122,0.98574,0.86839,0.70095,0.85473,0.65046,0.66112,1.80324,1.03636,0.00117198,0.00117198,0.00117198
8,1638.55,0.64245,0.90094,0.99056,0.80587,0.59231,0.80437,0.61908,0.73229,1.97304,1.08545,0.00133873,0.00133873,0.00133873
9,1842.44,0.65338,0.88373,0.99328,0.91281,0.71034,0.87228,0.6781,0.70526,1.49855,1.09837,0.00140636,0.00140636,0.00140636
10,2046.9,0.60133,0.80123,0.98302,0.76191,0.63123,0.69632,0.52934,1.03533,1.67168,1.57041,0.00140354,0.00140354,0.00140354
11,2251.35,0.61796,0.77556,0.98679,0.42777,0.58222,0.32701,0.19034,1.42323,3.57649,2.28336,0.00140071,0.00140071,0.00140071
12,2454.73,0.57211,0.72105,0.98605,0.67348,0.63071,0.70735,0.54387,0.89826,1.54619,1.53182,0.00139788,0.00139788,0.00139788
13,2657.88,0.61351,0.71794,0.9838,0.75792,0.69768,0.78587,0.56702,1.05457,1.71172,1.51862,0.00139505,0.00139505,0.00139505
14,2860.7,0.57174,0.65998,0.96747,0.71376,0.55941,0.66463,0.38906,1.49967,2.14565,2.0375,0.00139222,0.00139222,0.00139222
15,3064.13,0.59738,0.62617,0.98715,0.7452,0.7962,0.82639,0.65147,0.72364,1.1842,1.11208,0.00138939,0.00138939,0.00138939
16,3267.34,0.56695,0.6043,0.95249,0.73482,0.83315,0.82817,0.59841,0.96373,1.34258,1.41143,0.00138656,0.00138656,0.00138656
17,3470.48,0.53604,0.56319,0.95404,0.8889,0.89853,0.94666,0.71787,0.66255,0.98027,1.01389,0.00138373,0.00138373,0.00138373
18,3673.73,0.55896,0.57235,0.9597,0.89554,0.81451,0.93239,0.75254,0.65559,0.94018,1.02588,0.0013809,0.0013809,0.0013809
19,3876.99,0.55883,0.55355,0.96431,0.97768,0.96885,0.98845,0.82228,0.55569,0.66382,0.95803,0.00137807,0.00137807,0.00137807
20,4079.9,0.57171,0.56281,0.9596,0.9682,0.96849,0.98586,0.82303,0.53968,0.65115,0.94962,0.00137524,0.00137524,0.00137524
21,4282.99,0.55675,0.5577,0.96997,0.97985,0.96208,0.99166,0.83319,0.51273,0.60808,0.94126,0.00137241,0.00137241,0.00137241
22,4486.43,0.54742,0.52251,0.96033,0.83917,0.81367,0.84959,0.61302,0.90489,0.94791,1.36474,0.00136958,0.00136958,0.00136958
23,4694.18,0.54807,0.53941,0.94938,0.93206,0.9029,0.97572,0.8222,0.54454,0.69908,0.95223,0.00136675,0.00136675,0.00136675
24,4897.87,0.52975,0.50734,0.95115,0.96054,0.96865,0.99214,0.86243,0.49804,0.52247,0.91561,0.00136392,0.00136392,0.00136392
25,5101.91,0.53364,0.49426,0.94097,0.93553,0.94117,0.98184,0.84144,0.52431,0.56474,0.93516,0.00136109,0.00136109,0.00136109
26,5304.81,0.50237,0.49693,0.94965,0.99233,0.99899,0.99487,0.84615,0.53017,0.50123,0.92358,0.00135826,0.00135826,0.00135826
27,5507.49,0.5337,0.4672,0.95359,0.98034,0.99071,0.99203,0.85901,0.51497,0.48576,0.9155,0.00135544,0.00135544,0.00135544
28,5710.13,0.53887,0.49501,0.9638,0.87939,0.92557,0.95455,0.81929,0.50222,0.62016,0.94516,0.00135261,0.00135261,0.00135261
29,5913.46,0.54651,0.47897,0.94991,0.94139,0.98355,0.99029,0.87391,0.49761,0.53032,0.91755,0.00134978,0.00134978,0.00134978
30,6116.55,0.51317,0.44062,0.96528,0.95494,0.9708,0.9879,0.85676,0.50749,0.45097,0.93092,0.00134695,0.00134695,0.00134695
31,6320.12,0.53547,0.47572,0.96117,0.97138,0.97698,0.99138,0.87637,0.45184,0.44976,0.90606,0.00134412,0.00134412,0.00134412
32,6523.45,0.49497,0.45749,0.94161,0.98834,0.99582,0.99342,0.87249,0.44329,0.42605,0.90337,0.00134129,0.00134129,0.00134129
33,6726.37,0.5246,0.45326,0.96787,0.99194,0.98333,0.99352,0.86536,0.51692,0.42715,0.94007,0.00133846,0.00133846,0.00133846
34,6930.43,0.52942,0.45288,0.9324,0.98846,0.99896,0.99425,0.88566,0.44418,0.37978,0.88969,0.00133563,0.00133563,0.00133563
35,7134.01,0.48517,0.42967,0.95009,0.8641,0.85133,0.88717,0.75671,0.64557,0.76164,1.08403,0.0013328,0.0013328,0.0013328
