epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.407,0.4451,0.46145,0.92036,0.93615,0.90867,0.96523,0.88231,0.3516,0.33741,0.8318,0.000465978,0.000465978,0.000465978
2,703.905,0.46135,0.44455,0.93223,0.91267,0.8784,0.94665,0.84144,0.40468,0.44716,0.85718,0.000923654,0.000923654,0.000923654
3,1068.64,0.4762,0.47289,0.92206,0.86973,0.90077,0.91831,0.788,0.54212,0.52131,0.94873,0.00136247,0.00136247,0.00136247
4,1422.93,0.5019,0.46546,0.94441,0.77023,0.85878,0.847,0.73796,0.60184,0.55547,1.02089,0.00134412,0.00134412,0.00134412
5,1766.23,0.50052,0.46222,0.93095,0.95595,0.94027,0.97989,0.86911,0.4354,0.38989,0.87261,0.00131582,0.00131582,0.00131582
6,2114.93,0.46811,0.441,0.91033,0.82619,0.92588,0.94968,0.83659,0.47438,0.51844,0.87933,0.00128753,0.00128753,0.00128753
7,2464.53,0.47709,0.42673,0.93562,0.7878,0.70946,0.79791,0.55281,0.98156,0.91988,1.33576,0.00125923,0.00125923,0.00125923
8,2812.52,0.49045,0.42563,0.93552,0.96711,0.91323,0.97687,0.87214,0.41306,0.41101,0.86588,0.00123094,0.00123094,0.00123094
9,3159.79,0.45852,0.42166,0.91947,0.97983,0.94908,0.98486,0.88427,0.41854,0.33994,0.87481,0.00120265,0.00120265,0.00120265
10,3507.83,0.46849,0.41463,0.91992,0.98416,0.96142,0.99044,0.89948,0.39738,0.30945,0.8496,0.00117435,0.00117435,0.00117435
11,3854.85,0.47994,0.40725,0.92254,0.98376,0.96004,0.98596,0.89051,0.41233,0.31831,0.8553,0.00114606,0.00114606,0.00114606
12,4202.68,0.47013,0.40448,0.93476,0.98467,0.97202,0.99265,0.90526,0.40267,0.28762,0.84726,0.00111776,0.00111776,0.00111776
13,4548.93,0.45995,0.386,0.91813,0.97868,0.97045,0.99125,0.89678,0.39133,0.29831,0.85186,0.00108947,0.00108947,0.00108947
14,4896.8,0.4403,0.38206,0.90529,0.98862,0.9619,0.9922,0.89328,0.42245,0.31131,0.857,0.00106118,0.00106118,0.00106118
15,5243.1,0.43425,0.36391,0.9083,0.97655,0.98535,0.99307,0.91076,0.37937,0.26854,0.84589,0.00103288,0.00103288,0.00103288
16,5590.48,0.44333,0.37791,0.92288,0.98826,0.97784,0.9932,0.91142,0.36401,0.2781,0.842,0.00100459,0.00100459,0.00100459
17,5937.74,0.42722,0.36387,0.91375,0.98968,0.97304,0.99272,0.907,0.3988,0.28541,0.86227,0.000976293,0.000976293,0.000976293
18,6285.37,0.42913,0.35853,0.91492,0.97854,0.98021,0.99176,0.91472,0.34981,0.26875,0.82593,0.000947999,0.000947999,0.000947999
19,6632.68,0.42503,0.35332,0.90444,0.97795,0.98688,0.99273,0.91541,0.35223,0.24705,0.83473,0.000919704,0.000919704,0.000919704
20,6980.01,0.41276,0.35047,0.89558,0.98582,0.98443,0.99372,0.92685,0.3523,0.24719,0.83494,0.00089141,0.00089141,0.00089141
21,7329.16,0.42316,0.34508,0.90376,0.99218,0.98507,0.99354,0.91827,0.36335,0.2573,0.83191,0.000863116,0.000863116,0.000863116
