epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.072,0.34648,0.26734,0.87628,0.99326,0.99885,0.9942,0.95365,0.2856,0.18286,0.80342,0.00031438,0.00031438,0.00031438
2,761.051,0.37199,0.29095,0.88886,0.99565,0.99238,0.99466,0.9446,0.31943,0.21285,0.81166,0.000633955,0.000633955,0.000633955
3,1141.9,0.40203,0.31024,0.89739,0.98791,0.98841,0.99389,0.93169,0.3306,0.22809,0.82679,0.000944234,0.000944234,0.000944234
4,1521.68,0.41259,0.32769,0.90177,0.9873,0.98502,0.99431,0.92345,0.35288,0.24324,0.83032,0.00124522,0.00124522,0.00124522
5,1903.8,0.43101,0.33612,0.89919,0.90623,0.74489,0.84373,0.72001,0.75164,0.83621,1.18366,0.00134816,0.00134816,0.00134816
6,2283.81,0.43834,0.34953,0.91056,0.97041,0.93258,0.98253,0.87414,0.48389,0.38925,0.86345,0.00132795,0.00132795,0.00132795
7,2665.52,0.44086,0.35344,0.91253,0.96503,0.91838,0.98158,0.88706,0.3933,0.35027,0.85008,0.00130774,0.00130774,0.00130774
8,3044.88,0.43257,0.35761,0.90749,0.87031,0.86754,0.94932,0.84691,0.45052,0.4857,0.87429,0.00128753,0.00128753,0.00128753
9,3430.92,0.42659,0.34854,0.91171,0.98786,0.93949,0.97231,0.87382,0.42286,0.35713,0.86154,0.00126732,0.00126732,0.00126732
10,3813.89,0.43542,0.35425,0.906,0.98389,0.98125,0.9936,0.92491,0.34848,0.26867,0.83534,0.00124711,0.00124711,0.00124711
11,4194.61,0.43466,0.34489,0.90432,0.98821,0.97926,0.99395,0.92013,0.35978,0.26202,0.83887,0.0012269,0.0012269,0.0012269
12,4574.19,0.40458,0.33495,0.90366,0.81223,0.67444,0.7778,0.61795,0.90763,1.03752,1.35654,0.00120669,0.00120669,0.00120669
13,4954.8,0.41317,0.33405,0.89864,0.97908,0.97691,0.99306,0.91878,0.35023,0.27118,0.82833,0.00118648,0.00118648,0.00118648
14,5335.47,0.43019,0.33291,0.90528,0.96057,0.96413,0.98664,0.88929,0.40506,0.32649,0.873,0.00116627,0.00116627,0.00116627
15,5716.99,0.4152,0.33467,0.90445,0.9834,0.98067,0.99228,0.91386,0.38205,0.26957,0.85195,0.00114606,0.00114606,0.00114606
16,6096.81,0.41907,0.33466,0.91211,0.98397,0.98441,0.99193,0.91976,0.36374,0.26602,0.84036,0.00112585,0.00112585,0.00112585
17,6478.53,0.42505,0.33616,0.90276,0.98673,0.98461,0.9934,0.91554,0.36652,0.25648,0.84269,0.00110564,0.00110564,0.00110564
