epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,721.871,0.39102,0.31355,0.90056,0.8367,0.97599,0.90367,0.83676,0.40878,0.36885,0.81762,0.000470663,0.000470663,0.000470663
2,1419.83,0.42328,0.33719,0.9,0.91489,0.96295,0.94955,0.87134,0.42142,0.40655,0.81696,0.000935277,0.000935277,0.000935277
3,2135.58,0.45543,0.38321,0.91733,0.8919,0.94262,0.92376,0.83434,0.44274,0.42898,0.82821,0.0013881,0.0013881,0.0013881
4,2854.27,0.47535,0.4052,0.92471,0.90182,0.95462,0.94596,0.84957,0.48591,0.44163,0.85324,0.00137595,0.00137595,0.00137595
5,3575.17,0.48083,0.41644,0.92743,0.65132,0.66404,0.64303,0.48297,1.07299,1.05838,1.56789,0.00135826,0.00135826,0.00135826
6,4304.54,0.47629,0.41554,0.92115,0.83311,0.95,0.93054,0.83502,0.4881,0.47304,0.83014,0.00134058,0.00134058,0.00134058
7,5023.43,0.46114,0.38932,0.91866,0.81842,0.96602,0.92487,0.82123,0.51156,0.46635,0.84288,0.0013229,0.0013229,0.0013229
8,5743.92,0.47778,0.42176,0.93859,0.80506,0.93498,0.89376,0.79323,0.51152,0.54651,0.86904,0.00130521,0.00130521,0.00130521
9,6457.58,0.46439,0.39875,0.92159,0.84709,0.96324,0.92379,0.83489,0.45814,0.43908,0.83198,0.00128753,0.00128753,0.00128753
10,7177.14,0.46519,0.39469,0.92784,0.84109,0.98208,0.90378,0.82179,0.43073,0.42887,0.81603,0.00126985,0.00126985,0.00126985
11,7919.23,0.46198,0.39026,0.92038,0.89614,0.96314,0.94492,0.87472,0.41032,0.4178,0.81567,0.00125216,0.00125216,0.00125216
12,8656.79,0.46059,0.37775,0.92506,0.80798,0.93374,0.89701,0.80608,0.4678,0.532,0.84891,0.00123448,0.00123448,0.00123448
13,9410.36,0.4817,0.38271,0.92819,0.90077,0.91817,0.91753,0.83225,0.47756,0.49381,0.86778,0.00121679,0.00121679,0.00121679
14,10163.5,0.4624,0.36585,0.91667,0.89147,0.99013,0.9497,0.85782,0.47892,0.40585,0.83028,0.00119911,0.00119911,0.00119911
15,11048.8,0.45475,0.35123,0.91718,0.85505,0.97912,0.95016,0.86582,0.42799,0.39665,0.81567,0.00118143,0.00118143,0.00118143
16,11804,0.43671,0.34905,0.91462,0.90007,0.97514,0.94687,0.86308,0.42696,0.3986,0.81958,0.00116374,0.00116374,0.00116374
17,12569.2,0.44798,0.36551,0.91187,0.89405,0.97535,0.95572,0.88878,0.39943,0.38463,0.80943,0.00114606,0.00114606,0.00114606
18,13328,0.43167,0.34863,0.90434,0.86038,0.97223,0.94739,0.87322,0.42128,0.40077,0.82048,0.00112837,0.00112837,0.00112837
19,14086.1,0.4592,0.36122,0.92401,0.89605,0.97574,0.96057,0.87383,0.46276,0.41275,0.82973,0.00111069,0.00111069,0.00111069
20,14846.9,0.43602,0.34971,0.91395,0.85852,0.9797,0.91634,0.82551,0.47484,0.43021,0.84203,0.00109301,0.00109301,0.00109301
21,15608.1,0.43548,0.34928,0.91644,0.91577,0.96399,0.94387,0.87131,0.43771,0.38672,0.82639,0.00107532,0.00107532,0.00107532
22,16376.9,0.43415,0.34229,0.90991,0.90428,0.98104,0.94814,0.87491,0.39461,0.39315,0.81259,0.00105764,0.00105764,0.00105764
23,17135.8,0.42378,0.34202,0.90391,0.89396,0.97554,0.94953,0.87526,0.41209,0.37126,0.81839,0.00103995,0.00103995,0.00103995
24,17900,0.42582,0.33702,0.90775,0.93219,0.96866,0.95853,0.89358,0.40332,0.36076,0.81473,0.00102227,0.00102227,0.00102227
25,18665,0.43078,0.34058,0.90839,0.87324,0.97956,0.93991,0.86059,0.43912,0.38697,0.82628,0.00100459,0.00100459,0.00100459
26,19428.3,0.40859,0.33366,0.90222,0.87303,0.98985,0.94474,0.86832,0.40494,0.37343,0.8147,0.000986903,0.000986903,0.000986903
27,20202,0.42848,0.34003,0.90847,0.89955,0.96982,0.94515,0.87073,0.40836,0.37836,0.81598,0.000969219,0.000969219,0.000969219
28,20969,0.40419,0.3222,0.89805,0.87841,0.97947,0.94292,0.87353,0.39051,0.37518,0.81285,0.000951535,0.000951535,0.000951535
29,21740.6,0.41589,0.33072,0.90434,0.9052,0.97998,0.94757,0.87637,0.41052,0.37603,0.81504,0.000933851,0.000933851,0.000933851
30,22510.7,0.41231,0.32831,0.89505,0.87539,0.95918,0.93926,0.86558,0.43357,0.39419,0.83306,0.000916168,0.000916168,0.000916168
31,23289.3,0.40025,0.31587,0.90646,0.90235,0.98033,0.95343,0.89108,0.3904,0.36173,0.81325,0.000898484,0.000898484,0.000898484
32,24068.2,0.41056,0.31991,0.90532,0.88893,0.98444,0.94487,0.88003,0.37088,0.36711,0.80712,0.0008808,0.0008808,0.0008808
33,24850.4,0.4061,0.31381,0.89259,0.85968,0.98679,0.95253,0.88412,0.40201,0.37808,0.81607,0.000863116,0.000863116,0.000863116
34,25627,0.41111,0.31956,0.89837,0.88482,0.98508,0.9498,0.88204,0.40695,0.36837,0.81956,0.000845432,0.000845432,0.000845432
35,26399.1,0.39598,0.32005,0.90111,0.86577,0.96237,0.93429,0.86315,0.41368,0.38986,0.82817,0.000827748,0.000827748,0.000827748
36,27173.8,0.38849,0.31203,0.88885,0.87115,0.95256,0.95214,0.88062,0.41792,0.37527,0.81535,0.000810064,0.000810064,0.000810064
37,27946.7,0.39347,0.30541,0.89793,0.86329,0.9851,0.94554,0.87745,0.39852,0.36391,0.81188,0.00079238,0.00079238,0.00079238
38,28716.9,0.39715,0.30521,0.8941,0.85914,0.98119,0.94138,0.87924,0.38412,0.37239,0.80795,0.000774697,0.000774697,0.000774697
39,29480.1,0.40741,0.31381,0.90271,0.85072,0.9925,0.93654,0.87326,0.39225,0.36605,0.81126,0.000757013,0.000757013,0.000757013
40,30259.2,0.38925,0.2986,0.89081,0.8744,0.97984,0.95307,0.89023,0.37076,0.35687,0.81047,0.000739329,0.000739329,0.000739329
41,31048.6,0.40184,0.30689,0.89797,0.86078,0.97967,0.94195,0.87354,0.40296,0.3677,0.81429,0.000721645,0.000721645,0.000721645
42,31830.8,0.40012,0.30159,0.8938,0.87546,0.97897,0.95234,0.9007,0.35885,0.35544,0.80554,0.000703961,0.000703961,0.000703961
43,32605.3,0.38876,0.29481,0.89333,0.87828,0.9841,0.94361,0.87986,0.38138,0.3729,0.80557,0.000686277,0.000686277,0.000686277
44,33393.6,0.38342,0.29237,0.89002,0.86386,0.97702,0.94534,0.88064,0.39891,0.35492,0.80991,0.000668593,0.000668593,0.000668593
45,34169.4,0.3719,0.28758,0.88522,0.85211,0.98444,0.91392,0.85525,0.38307,0.35045,0.80651,0.000650909,0.000650909,0.000650909
46,34945.1,0.38173,0.28905,0.88598,0.84889,0.97483,0.94432,0.87973,0.38477,0.36011,0.81194,0.000633226,0.000633226,0.000633226
47,35717.6,0.36814,0.28658,0.8801,0.89963,0.98796,0.94997,0.88731,0.36973,0.35106,0.80522,0.000615542,0.000615542,0.000615542
48,36492.7,0.38132,0.2831,0.88203,0.86591,0.97249,0.94326,0.8805,0.38802,0.34497,0.81127,0.000597858,0.000597858,0.000597858
49,37275.1,0.37679,0.27853,0.89128,0.86126,0.98432,0.94724,0.89129,0.3802,0.35161,0.80774,0.000580174,0.000580174,0.000580174
50,38063.3,0.37456,0.28241,0.88364,0.85328,0.98709,0.9421,0.88556,0.36598,0.35367,0.80692,0.00056249,0.00056249,0.00056249
