epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.532,0.36206,0.31083,0.88177,0.84803,0.97965,0.91093,0.86134,0.36929,0.35483,0.81453,0.00038583,0.00038583,0.00038583
2,783.009,0.38101,0.32803,0.88648,0.84226,0.95604,0.9069,0.84433,0.40807,0.40129,0.83633,0.000770388,0.000770388,0.000770388
3,1171.35,0.38908,0.32598,0.88913,0.84455,0.96851,0.92565,0.86281,0.39288,0.42396,0.81938,0.0011391,0.0011391,0.0011391
4,1562.3,0.42428,0.37093,0.89311,0.88003,0.95144,0.95629,0.8783,0.41175,0.39969,0.82636,0.00134412,0.00134412,0.00134412
5,1951.38,0.43098,0.36947,0.8982,0.84315,0.94253,0.91639,0.79282,0.49967,0.55688,0.88264,0.00131582,0.00131582,0.00131582
6,2340.7,0.42711,0.37297,0.90576,0.80473,0.95773,0.86964,0.79146,0.42468,0.45015,0.84178,0.00128753,0.00128753,0.00128753
7,2729.44,0.42102,0.3671,0.90445,0.82882,0.97073,0.92988,0.84184,0.46934,0.42153,0.84747,0.00125923,0.00125923,0.00125923
8,3119.22,0.42717,0.37531,0.90534,0.84014,0.98164,0.9461,0.84562,0.49002,0.45579,0.84254,0.00123094,0.00123094,0.00123094
9,3508.28,0.42539,0.36691,0.9085,0.81079,0.96231,0.89252,0.81,0.42754,0.43102,0.83804,0.00120265,0.00120265,0.00120265
10,3897.53,0.4104,0.3518,0.88816,0.83041,0.92208,0.93367,0.84962,0.42517,0.41855,0.8289,0.00117435,0.00117435,0.00117435
11,4286.48,0.41736,0.35001,0.89707,0.8213,0.95398,0.90884,0.79675,0.52244,0.50131,0.90276,0.00114606,0.00114606,0.00114606
12,4674.35,0.41647,0.35092,0.89974,0.87223,0.94719,0.94022,0.87135,0.4091,0.41175,0.81635,0.00111776,0.00111776,0.00111776
13,5062.44,0.39916,0.35604,0.90346,0.84546,0.96115,0.9304,0.85678,0.41722,0.39834,0.81827,0.00108947,0.00108947,0.00108947
14,5451,0.42058,0.35756,0.89548,0.8557,0.95771,0.94135,0.87331,0.39854,0.37896,0.8187,0.00106118,0.00106118,0.00106118
15,5844.1,0.3984,0.34514,0.88808,0.82498,0.9754,0.89702,0.82393,0.43175,0.40466,0.82513,0.00103288,0.00103288,0.00103288
16,6237.42,0.40575,0.33465,0.8935,0.84927,0.96221,0.91877,0.83408,0.42978,0.40461,0.82887,0.00100459,0.00100459,0.00100459
17,6629.81,0.41408,0.34808,0.9035,0.82976,0.96991,0.89282,0.81831,0.42272,0.39559,0.82835,0.000976293,0.000976293,0.000976293
18,7021.95,0.40164,0.33394,0.88953,0.88093,0.95066,0.95935,0.89048,0.40501,0.36188,0.82226,0.000947999,0.000947999,0.000947999
19,7414.03,0.38984,0.32824,0.88676,0.82967,0.96683,0.92065,0.85624,0.40476,0.37198,0.82107,0.000919704,0.000919704,0.000919704
20,7806.84,0.3868,0.31826,0.88952,0.82492,0.97613,0.94168,0.87256,0.37894,0.3674,0.81209,0.00089141,0.00089141,0.00089141
21,8199.27,0.38603,0.32326,0.88919,0.80205,0.98001,0.90135,0.84349,0.38908,0.38686,0.81542,0.000863116,0.000863116,0.000863116
22,8589.47,0.38495,0.31208,0.88225,0.78426,0.95532,0.91019,0.85384,0.37856,0.38331,0.813,0.000834822,0.000834822,0.000834822
23,8982.85,0.38326,0.31885,0.8885,0.80399,0.95345,0.908,0.84072,0.39056,0.38374,0.81733,0.000806528,0.000806528,0.000806528
24,9374.58,0.37451,0.30197,0.88312,0.81884,0.97646,0.90138,0.83294,0.41944,0.36659,0.82005,0.000778233,0.000778233,0.000778233
25,9767.75,0.3867,0.3162,0.8928,0.80111,0.95845,0.90614,0.84078,0.40973,0.38568,0.82044,0.000749939,0.000749939,0.000749939
26,10157.5,0.38272,0.30402,0.88777,0.87274,0.90752,0.94463,0.88125,0.37827,0.3674,0.81118,0.000721645,0.000721645,0.000721645
27,10546.9,0.3782,0.30552,0.87916,0.81563,0.97561,0.9243,0.86533,0.37423,0.35425,0.8113,0.000693351,0.000693351,0.000693351
28,10936.2,0.36633,0.30314,0.87702,0.83424,0.95183,0.92116,0.85899,0.37492,0.35026,0.81194,0.000665057,0.000665057,0.000665057
29,11325.9,0.36777,0.30663,0.88635,0.81232,0.92743,0.91006,0.85218,0.36958,0.3533,0.81319,0.000636762,0.000636762,0.000636762
30,11715.5,0.35798,0.2959,0.87662,0.8103,0.89979,0.87281,0.80446,0.43503,0.44185,0.83891,0.000608468,0.000608468,0.000608468
31,12105,0.35761,0.28781,0.87223,0.82057,0.9524,0.91462,0.85409,0.38598,0.35013,0.81484,0.000580174,0.000580174,0.000580174
32,12493.9,0.3549,0.29438,0.88025,0.81571,0.96321,0.90606,0.8438,0.40153,0.36433,0.81685,0.00055188,0.00055188,0.00055188
33,12883.7,0.35408,0.28765,0.87528,0.86332,0.93638,0.94155,0.87704,0.38536,0.33608,0.81561,0.000523586,0.000523586,0.000523586
34,13274.8,0.35329,0.26994,0.87019,0.86202,0.9451,0.94794,0.89591,0.35796,0.33438,0.80687,0.000495291,0.000495291,0.000495291
35,13665.9,0.35884,0.27727,0.87193,0.80511,0.92628,0.90787,0.85709,0.35962,0.35659,0.80927,0.000466997,0.000466997,0.000466997
36,14055.2,0.34785,0.27172,0.87285,0.78918,0.92057,0.89277,0.83309,0.38179,0.37775,0.82024,0.000438703,0.000438703,0.000438703
37,14446.2,0.34929,0.28275,0.87912,0.84276,0.9284,0.94762,0.88423,0.3892,0.33508,0.81436,0.000410409,0.000410409,0.000410409
38,14836.4,0.33896,0.27092,0.87074,0.86452,0.91682,0.94646,0.88633,0.37111,0.32481,0.81493,0.000382115,0.000382115,0.000382115
39,15225.7,0.3452,0.26239,0.87798,0.87002,0.92235,0.94371,0.88173,0.37619,0.33463,0.81732,0.00035382,0.00035382,0.00035382
40,15616.1,0.3356,0.26061,0.87176,0.85157,0.93712,0.93662,0.88032,0.35307,0.32357,0.80987,0.000325526,0.000325526,0.000325526
41,16005.3,0.2977,0.21325,0.82124,0.82686,0.92873,0.92144,0.86128,0.35605,0.33592,0.81108,0.000297232,0.000297232,0.000297232
42,16393.5,0.29695,0.21774,0.8184,0.83409,0.93152,0.9424,0.88145,0.36133,0.34179,0.81065,0.000268938,0.000268938,0.000268938
43,16780,0.28787,0.20703,0.81409,0.8192,0.94028,0.90734,0.85115,0.34918,0.33486,0.80588,0.000240644,0.000240644,0.000240644
44,17165,0.28561,0.20117,0.8111,0.82073,0.95734,0.90646,0.85195,0.35418,0.32776,0.80848,0.000212349,0.000212349,0.000212349
45,17551.5,0.29136,0.20362,0.82139,0.80908,0.9755,0.91607,0.85678,0.37836,0.32832,0.81434,0.000184055,0.000184055,0.000184055
46,17937.5,0.28565,0.19848,0.81922,0.82182,0.94954,0.9111,0.85616,0.37562,0.3338,0.81605,0.000155761,0.000155761,0.000155761
47,18324,0.27991,0.19553,0.81179,0.81532,0.95715,0.90857,0.8608,0.34845,0.32083,0.80603,0.000127467,0.000127467,0.000127467
48,18711.3,0.27738,0.1871,0.82668,0.78872,0.95798,0.88579,0.83307,0.35732,0.33778,0.81027,9.91726e-05,9.91726e-05,9.91726e-05
49,19098,0.26809,0.18892,0.82077,0.81399,0.94478,0.90497,0.85264,0.34929,0.32107,0.80756,7.08784e-05,7.08784e-05,7.08784e-05
