epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.397,0.36206,0.31083,0.88177,0.84803,0.97965,0.91093,0.86134,0.36929,0.35483,0.81453,0.00038583,0.00038583,0.00038583
2,784.123,0.38071,0.32587,0.88628,0.84513,0.96668,0.91788,0.85803,0.39668,0.38212,0.82496,0.000765474,0.000765474,0.000765474
3,1174.68,0.39011,0.32976,0.88873,0.83127,0.94847,0.89388,0.8216,0.42498,0.44798,0.84569,0.00112427,0.00112427,0.00112427
4,1567.23,0.42361,0.3657,0.89125,0.86903,0.93953,0.95795,0.87861,0.42304,0.39721,0.83126,0.00131731,0.00131731,0.00131731
5,1968.22,0.42867,0.3585,0.8941,0.77016,0.77429,0.79144,0.62511,0.81407,0.81544,1.2512,0.00128008,0.00128008,0.00128008
6,2359.48,0.43224,0.37732,0.90797,0.8236,0.93449,0.90629,0.83238,0.40559,0.46227,0.8287,0.00124285,0.00124285,0.00124285
7,2750.17,0.42373,0.37326,0.9049,0.81875,0.86495,0.83322,0.72465,0.56722,0.65725,0.93385,0.00120562,0.00120562,0.00120562
8,3141.48,0.41767,0.36763,0.90144,0.8199,0.94265,0.85336,0.76845,0.47434,0.46595,0.84177,0.0011684,0.0011684,0.0011684
9,3532.95,0.41809,0.36189,0.9016,0.8184,0.9409,0.86682,0.79274,0.40193,0.41647,0.82683,0.00113117,0.00113117,0.00113117
10,3925.21,0.40852,0.35268,0.88306,0.84736,0.95026,0.92663,0.84827,0.41754,0.3957,0.82864,0.00109394,0.00109394,0.00109394
11,4316.75,0.39877,0.33775,0.89146,0.8187,0.94259,0.90093,0.82691,0.44833,0.4396,0.83802,0.00105671,0.00105671,0.00105671
12,4706.59,0.40442,0.34915,0.8989,0.86526,0.94857,0.93191,0.86404,0.40074,0.40018,0.81992,0.00101948,0.00101948,0.00101948
13,5097.94,0.39102,0.35044,0.90054,0.79793,0.92633,0.8934,0.82515,0.40764,0.45501,0.81743,0.000982249,0.000982249,0.000982249
14,5488.49,0.40365,0.34394,0.8912,0.81762,0.94661,0.91281,0.84198,0.38986,0.42507,0.8206,0.00094502,0.00094502,0.00094502
