epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7345,0.60273,0.56175,1.01814,0.87098,0.86804,0.88884,0.67941,0.95449,0.51283,0.9963,0.000254085,0.000254085,0.000254085
2,105.166,0.59667,0.53805,1.00605,0.91705,0.87734,0.9042,0.68178,0.95621,0.51811,0.9893,0.000503199,0.000503199,0.000503199
3,157.548,0.60249,0.57025,1.00493,0.84747,0.79556,0.82125,0.62433,0.98746,0.5813,1.00732,0.000745063,0.000745063,0.000745063
4,209.882,0.60185,0.5458,1.00486,0.91155,0.87399,0.90027,0.67308,0.95976,0.53543,0.99915,0.000736372,0.000736372,0.000736372
5,262.383,0.6058,0.55231,1.01168,0.9102,0.82652,0.87074,0.66521,0.94898,0.54356,0.98533,0.000725497,0.000725497,0.000725497
6,314.945,0.60416,0.51048,1.00812,0.94053,0.85638,0.88141,0.67746,0.93419,0.51354,0.97571,0.000714621,0.000714621,0.000714621
7,367.022,0.62433,0.56403,1.03326,0.89481,0.83552,0.86536,0.64982,0.97686,0.6002,1.03182,0.000703745,0.000703745,0.000703745
8,419.089,0.60774,0.54523,1.01959,0.87687,0.85836,0.88412,0.63482,1.01433,0.56308,1.03219,0.000692869,0.000692869,0.000692869
9,473.649,0.60719,0.52033,1.021,0.91437,0.87811,0.88443,0.66602,0.93056,0.48802,0.98086,0.000681993,0.000681993,0.000681993
10,525.839,0.60524,0.54604,1.01745,0.93481,0.86513,0.89297,0.68466,0.92339,0.5074,0.96503,0.000671117,0.000671117,0.000671117
11,578.168,0.58767,0.53902,1.00289,0.92068,0.86269,0.88308,0.67568,0.95704,0.53166,0.98756,0.000660241,0.000660241,0.000660241
12,631.252,0.59963,0.52618,0.99617,0.84772,0.82407,0.81674,0.61422,0.98676,0.54713,1.01149,0.000649366,0.000649366,0.000649366
13,683.399,0.59275,0.51213,1.00619,0.88052,0.83462,0.86104,0.63835,0.95677,0.59293,1.0013,0.00063849,0.00063849,0.00063849
