epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.5147,0.67662,0.67844,1.06817,0.89353,0.85633,0.88515,0.66506,1.00582,0.55503,1.01452,0.000254528,0.000254528,0.000254528
2,193.69,0.69668,0.69286,1.07307,0.89399,0.83498,0.89017,0.66812,0.99634,0.56427,1.0116,0.000503636,0.000503636,0.000503636
3,293.034,0.7029,0.67814,1.07631,0.79815,0.74201,0.77463,0.57358,1.12102,0.7758,1.10847,0.000745494,0.000745494,0.000745494
4,388.12,0.69517,0.68997,1.06976,0.91861,0.84436,0.89542,0.67362,0.99413,0.59056,1.00266,0.000736372,0.000736372,0.000736372
5,477.415,0.68978,0.69364,1.06803,0.90787,0.86201,0.88717,0.65132,1.0073,0.5972,1.0124,0.000725497,0.000725497,0.000725497
6,603.152,0.69589,0.67821,1.06625,0.8746,0.82665,0.85237,0.63909,1.01277,0.59928,1.01202,0.000714621,0.000714621,0.000714621
7,698.488,0.69112,0.69183,1.06902,0.89149,0.86105,0.87748,0.64886,0.98134,0.58039,1.00491,0.000703745,0.000703745,0.000703745
8,783.574,0.69282,0.69927,1.06998,0.89422,0.84579,0.88001,0.65047,1.00783,0.59249,1.00914,0.000692869,0.000692869,0.000692869
9,874.872,0.69247,0.65748,1.05927,0.86731,0.82205,0.84933,0.6375,0.98868,0.5982,1.00817,0.000681993,0.000681993,0.000681993
10,971.326,0.68797,0.66463,1.05741,0.92453,0.86544,0.90527,0.66904,0.99054,0.54934,1.01139,0.000671117,0.000671117,0.000671117
11,1068.4,0.67319,0.63393,1.04282,0.89778,0.84839,0.88214,0.66081,1.01869,0.57026,1.01627,0.000660241,0.000660241,0.000660241
12,1161.04,0.68463,0.65491,1.06083,0.89442,0.87515,0.89418,0.6528,1.02878,0.55392,1.02207,0.000649366,0.000649366,0.000649366
13,1255.07,0.66617,0.66004,1.05659,0.86602,0.86139,0.872,0.65645,0.96684,0.58723,0.99824,0.00063849,0.00063849,0.00063849
14,1342.22,0.66944,0.62939,1.04255,0.89138,0.79951,0.84683,0.62722,1.0457,0.62252,1.0402,0.000627614,0.000627614,0.000627614
15,1432.43,0.64555,0.61375,1.02386,0.89433,0.87056,0.88576,0.64604,1.00516,0.57141,1.01256,0.000616738,0.000616738,0.000616738
16,1527.62,0.67351,0.64176,1.05235,0.87021,0.81343,0.84587,0.6138,1.03075,0.66939,1.01899,0.000605862,0.000605862,0.000605862
