epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.9302,0.62458,0.57156,1.01097,0.92331,0.90196,0.90783,0.67489,1.00695,0.50608,1.02357,0.000254528,0.000254528,0.000254528
2,197.894,0.62949,0.56083,1.0179,0.90343,0.88684,0.91171,0.68341,0.99593,0.57055,1.02091,0.000503636,0.000503636,0.000503636
3,302.124,0.63969,0.60497,1.03254,0.92688,0.88461,0.90528,0.66717,1.00516,0.5456,1.02121,0.000745494,0.000745494,0.000745494
4,400.845,0.63544,0.58143,1.02325,0.90394,0.86654,0.87459,0.63077,1.03701,0.57595,1.04157,0.000736372,0.000736372,0.000736372
5,492.913,0.64806,0.61207,1.04003,0.90946,0.90565,0.90472,0.67714,0.99351,0.56495,1.01832,0.000725497,0.000725497,0.000725497
6,611.852,0.66593,0.61036,1.03346,0.91911,0.88253,0.9009,0.67646,1.01718,0.53416,1.01976,0.000714621,0.000714621,0.000714621
7,711.761,0.65444,0.6193,1.03328,0.92363,0.84989,0.8938,0.67077,0.99552,0.55669,1.01828,0.000703745,0.000703745,0.000703745
8,810.994,0.62752,0.57845,1.01319,0.89546,0.90951,0.90279,0.66074,1.02298,0.57328,1.02261,0.000692869,0.000692869,0.000692869
9,909.986,0.63595,0.5976,1.02949,0.91602,0.89019,0.90347,0.66328,1.00474,0.57305,1.01908,0.000681993,0.000681993,0.000681993
10,998.148,0.6399,0.58276,1.02142,0.90264,0.83859,0.89011,0.65634,1.01756,0.59639,1.02567,0.000671117,0.000671117,0.000671117
11,1096.97,0.64416,0.59112,1.0322,0.89052,0.8763,0.88763,0.65472,1.00925,0.56081,1.03782,0.000660241,0.000660241,0.000660241
12,1196.32,0.64049,0.57867,1.02789,0.92258,0.89865,0.90509,0.6713,0.98771,0.53006,1.01748,0.000649366,0.000649366,0.000649366
13,1284.87,0.62405,0.58108,1.01159,0.8797,0.89234,0.90455,0.6627,1.00121,0.58436,1.0166,0.00063849,0.00063849,0.00063849
14,1386.72,0.61963,0.57087,1.0154,0.90764,0.8874,0.88743,0.66217,0.995,0.56219,1.02297,0.000627614,0.000627614,0.000627614
15,1488.4,0.62443,0.56187,1.02083,0.91003,0.90919,0.90627,0.66394,1.02287,0.53018,1.03068,0.000616738,0.000616738,0.000616738
16,1587.14,0.61681,0.57127,1.01589,0.87968,0.87943,0.89564,0.66846,1.02673,0.58903,1.03908,0.000605862,0.000605862,0.000605862
17,1720.65,0.61516,0.54106,1.00874,0.92187,0.89753,0.90591,0.67034,0.99788,0.53153,1.01266,0.000594986,0.000594986,0.000594986
